"التعليقات النحوية Grammar Comments ","تصحيح الكلمة الأصلية (إن لزم) Correction of original word (if necessary)","الكلمة الأصلية Original word","المستوى التعليمي CEFR level","عدد تكرار الكلمة Frequency of word"
"فعل",,"كان","A1",8762.24
"أداة نفى",,"لا","A1",6631.53
"اسم علم",,"الله","B1",5251.23
"فعل",,"قال","A1",5226.59
"حرف",,"كل","A2",3485.03
"جملة اعتراضية للدعاء",,"رسول الله (صلى الله عليه وآله وسلم / عليه الصلاة والسلام)","C1",2293.22
"صفة",,"عام","A1",1871.54
"اسم",,"عمل","A1",1859.15
"اسم",,"آخر","A1",1801.91
"اسم",,"يوم","A1",1785.85
"حرف",,"أي","A1",1767.18
"اسم",,"أول","A1",1601.15
"حرف",,"بعض","A2",1552.48
"اسم",,"إنسان","A1",1431.09
"اسم",,"دولة","A1",1267.09
"ظرف",,"قبل","A1",1247.25
"اسم",,"أمر","A1",1241.8
"اسم",,"رئيس","B1",1228.56
"اسم",,"عند","A1",1174.12
"حرف ",,"مثل","A1",1151.95
"اسم",,"سنة","A1",1104.76
"اسم",,"حق","B1",1104.07
"صفة",,"عربي","A1",1094.85
"صفة",,"كثير","A1",1086.97
"اسم",,"شيء","A1",1070.4
"اسم",,"أحد","A1",1029.38
"اسم تفضيل",,"أكثر","A1",1011.75
"صفة",,"كبير","A1",986.41
"فعل",,"تم","B1",973.15
"فعل",,"يمكن","A1",950.94
"ظرف",,"خلال","A1",942.4
"اسم",,"واحد","A1",905.37
"اسم",,"عدد","A1",900.83
"فعل",,"قام","A2",886.54
"اسم",,"شكل","A2",870.44
"صفة",,"جديد","A1",859.27
"اسم",,"علم","A2",840.83
"اسم",,"رجل","A1",838.23
"اسم",,"جميع","A2",831.58
"اسم",,"بلد","A1",813.1
"اسم",,"اسم","A1",811.42
"فعل",,"يعني","A1",810.87
"ظرف",,"دون","A1",789.57
"اسم",,"سبب","A2",783.9
"صفة",,"ثاني","A1",779.15
"اسم",,"عالم","A1",776.61
"اسم",,"قول","A1",764.82
"مفعول مطلق / حال",,"أيضا","A1",759.67
"فعل",,"وجد","A1",752.73
"فعل",,"وضع","A1",733.63
"اسم",,"وقت","A1",714.63
"اسم",,"أرض","A1",707.64
"اسم",,"قوة","A1",705.11
"اسم",,"صورة","A1",699.76
"اسم",,"حديث","B1",696.25
"اسم",,"دور","B1",682.29
"اسم",,"حدث","A2",679.97
"اسم",,"مرة","A2",668.84
"اسم",,"موضوع","A2",657.29
"اسم",,"مجلس","B2",652.72
"ظرف زمان",,"عندما","B1",646.27
"صفة",,"سياسي","B1",642.87
"اسم",,"دين","A1",626.46
"اسم",,"عملية","B1",620.2
"اسم",,"منطقة","A2",608.76
"اسم",,"حكومة","B1",608.19
"ظرف مكان",,"حول","B1",600.16
"ظرف زمان",,"الآن","A1",598.19
"اسم",,"قدم","A1",597.17
"اسم",,"عدم","B1",595.4
"اسم",,"شركة","A1",592.96
" فعل / اسم",,"حكم","B2",589.06
"اسم",,"حياة","A2",576.05
"اسم",,"طريق","A1",573.25
"صفة",,"إسلامي","A2",570.08
"فعل",,"أراد","A2",565.96
"فعل",,"بدأ","A1",563.94
"فعل",,"أصبح","A2",561.48
"ظرف",,"داخل","A1",558.4
"اسم",,"ذكر","A2",554.36
